College Code,College Name,Branch Code,Branch Name,2023,2024,Difference
1423,"Asan Memorial College of Engineering andTechnology, Asan Nagar, 9th kilometer, ChengalpattuMahabalipuram Highway, Post Box No.6,Chengalpattu-603001.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,0,14,14
1423,"Asan Memorial College of Engineering andTechnology, Asan Nagar, 9th kilometer, ChengalpattuMahabalipuram Highway, Post Box No.6,Chengalpattu-603001.",IT,INFORMATION TECHNOLOGY,26,41,15
1423,"Asan Memorial College of Engineering andTechnology, Asan Nagar, 9th kilometer, ChengalpattuMahabalipuram Highway, Post Box No.6,Chengalpattu-603001.",ME,MECHANICAL ENGINEERING,14,14,0
1423,Asan Memorial College of Engineering and TechnologyChengalpattu-603 001.,RM,ROBOTICS AND AUTOMATION,14,0,-14
1423,"Asan Memorial College of Engineering andTechnology, Asan Nagar, 9th kilometer, ChengalpattuMahabalipuram Highway, Post Box No.6,Chengalpattu-603001.",SC,Computer Science andEngineering (Cyber Security),0,40,40
1424,"Dhaanish Ahmed College of Engineering, DhaanishNagar, Vanchuvancherry, Padappai(Near Tambaram),Sriperumbudur Taluk, Kancheepuram District-601301.",AD,Artificial Intelligence and DataScience,64,45,-19
1424,"Dhaanish Ahmed College of Engineering, DhaanishNagar, Vanchuvancherry, Padappai(Near Tambaram),Sriperumbudur Taluk, Kancheepuram District-601301.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,28,18,-10
1424,"Dhaanish Ahmed College of Engineering, DhaanishNagar, Vanchuvancherry, Padappai(Near Tambaram),Sriperumbudur Taluk, Kancheepuram District-601301.",CS,COMPUTER SCIENCE ANDENGINEERING,71,64,-7
1424,"Dhaanish Ahmed College of Engineering, DhaanishNagar, Vanchuvancherry, Padappai(Near Tambaram),Sriperumbudur Taluk, Kancheepuram District-601301.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,45,46,1
1424,"Dhaanish Ahmed College of Engineering, DhaanishNagar, Vanchuvancherry, Padappai(Near Tambaram),Sriperumbudur Taluk, Kancheepuram District-601301.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,27,22,-5
1424,"Dhaanish Ahmed College of Engineering, DhaanishNagar, Vanchuvancherry, Padappai(Near Tambaram),Sriperumbudur Taluk, Kancheepuram District-601301.",ME,MECHANICAL ENGINEERING,27,13,-14
1424,"Dhaanish Ahmed College of Engineering, DhaanishNagar, Vanchuvancherry, Padappai(Near Tambaram),Sriperumbudur Taluk, Kancheepuram District-601301.",PE,PETROLEUM ENGINEERING,27,23,-4
1424,"Dhaanish Ahmed College of Engineering, DhaanishNagar, Vanchuvancherry, Padappai(Near Tambaram),Sriperumbudur Taluk, Kancheepuram District-601301.",RM,ROBOTICS AND AUTOMATION,27,22,-5
1426,"Sri Ramanujar Engineering College, Vandalur,Kolapakkam, Kanchipuram, Chennai-600127.",AD,Artificial Intelligence and DataScience,35,35,0
1426,"Sri Ramanujar Engineering College, Vandalur,Kolapakkam, Kanchipuram, Chennai-600127.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,0,35,35
1426,"Sri Ramanujar Engineering College, Vandalur,Kolapakkam, Kanchipuram, Chennai-600127.",CS,COMPUTER SCIENCE ANDENGINEERING,52,53,1
1426,"Sri Ramanujar Engineering College, Vandalur,Kolapakkam, Kanchipuram, Chennai-600127.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,35,35,0
1426,"Sri Ramanujar Engineering College, Vandalur,Kolapakkam, Kanchipuram, Chennai-600127.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,19,19,0
1426,"Sri Ramanujar Engineering College, Vandalur,Kolapakkam, Kanchipuram, Chennai-600127.",IT,INFORMATION TECHNOLOGY,35,70,35
1426,"Sri Ramanujar Engineering College, Vandalur,Kolapakkam, Kanchipuram, Chennai-600127.",ME,MECHANICAL ENGINEERING,35,36,1
1427,"Sri Krishna Engineering College, Panapakkam NearPadappai Via Tambaram, Kanchipuram, Chennai-601301.",AD,Artificial Intelligence and DataScience,55,55,0
1427,"Sri Krishna Engineering College, Panapakkam NearPadappai Via Tambaram, Kanchipuram, Chennai-601301.",CS,COMPUTER SCIENCE ANDENGINEERING,54,54,0
1427,"Sri Krishna Engineering College, Panapakkam NearPadappai Via Tambaram, Kanchipuram, Chennai-601301.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,55,54,-1
1427,"Sri Krishna Engineering College, Panapakkam NearPadappai Via Tambaram, Kanchipuram, Chennai-601301.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,27,28,1
1427,"Sri Krishna Engineering College, Panapakkam NearPadappai Via Tambaram, Kanchipuram, Chennai-601301.",FT,FASHION TECHNOLOGY,27,26,-1
1427,"Sri Krishna Engineering College, Panapakkam NearPadappai Via Tambaram, Kanchipuram, Chennai-601301.",IT,INFORMATION TECHNOLOGY,26,28,2
1428,"E.S.College of Engineering and Technology, ChennaiTrunk Road, Ayyankoilpattu, Villupuram-605602.",AD,Artificial Intelligence and DataScience,50,50,0
1428,"E.S.College of Engineering and Technology, ChennaiTrunk Road, Ayyankoilpattu, Villupuram-605602.",CS,COMPUTER SCIENCE ANDENGINEERING,49,50,1
1428,"E.S.College of Engineering and Technology, ChennaiTrunk Road, Ayyankoilpattu, Villupuram-605602.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,54,53,-1
1428,"E.S.College of Engineering and Technology, ChennaiTrunk Road, Ayyankoilpattu, Villupuram-605602.",IT,INFORMATION TECHNOLOGY,54,50,-4
1430,"Maha Barathi Engineering College, A. Vasudevanur(post), Chinnasalem, Kallakurichi (Taluk), Villupuram-606201.",AD,Artificial Intelligence and DataScience,0,54,54
1430,"Maha Barathi Engineering College, A. Vasudevanur(post), Chinnasalem, Kallakurichi (Taluk), Villupuram-606201.",CE,CIVIL  ENGINEERING,18,28,10
1430,"Maha Barathi Engineering College, A. Vasudevanur(post), Chinnasalem, Kallakurichi (Taluk), Villupuram-606201.",CS,COMPUTER SCIENCE ANDENGINEERING,54,135,81
1430,"Maha Barathi Engineering College, A. Vasudevanur(post), Chinnasalem, Kallakurichi (Taluk), Villupuram-606201.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,34,55,21
1430,"Maha Barathi Engineering College, A. Vasudevanur(post), Chinnasalem, Kallakurichi (Taluk), Villupuram-606201.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,44,55,11
1430,"Maha Barathi Engineering College, A. Vasudevanur(post), Chinnasalem, Kallakurichi (Taluk), Villupuram-606201.",ME,MECHANICAL ENGINEERING,44,54,10
1431,"New Prince Shri Bhavani College of Engineering andTechnology (Autonomous), Vengaivasal Main Road,Gowrivakkam, Chennai-600073.",AD,Artificial Intelligence and DataScience,40,71,31
1431,"New Prince Shri Bhavani College of Engineering andTechnology (Autonomous), Vengaivasal Main Road,Gowrivakkam, Chennai-600073.",CE,CIVIL  ENGINEERING,18,28,10
1431,"New Prince Shri Bhavani College of Engineering andTechnology (Autonomous), Vengaivasal Main Road,Gowrivakkam, Chennai-600073.",CS,COMPUTER SCIENCE ANDENGINEERING,64,136,72
1431,"New Prince Shri Bhavani College of Engineering andTechnology (Autonomous), Vengaivasal Main Road,Gowrivakkam, Chennai-600073.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,35,50,15
1431,"New Prince Shri Bhavani College of Engineering andTechnology (Autonomous), Vengaivasal Main Road,Gowrivakkam, Chennai-600073.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,18,27,9
1431,"New Prince Shri Bhavani College of Engineering andTechnology (Autonomous), Vengaivasal Main Road,Gowrivakkam, Chennai-600073.",IT,INFORMATION TECHNOLOGY,35,91,56
1431,"New Prince Shri Bhavani College of Engineering andTechnology (Autonomous), Vengaivasal Main Road,Gowrivakkam, Chennai-600073.",ME,MECHANICAL ENGINEERING,19,26,7
1431,"New Prince Shri Bhavani College of Engineering andTechnology (Autonomous), Vengaivasal Main Road,Gowrivakkam, Chennai-600073.",SC,Computer Science andEngineering (Cyber Security),43,99,56
1432,"Rajalakshmi Institute of Technology (Autonomous),Bangalore Highway Road, Kuthambakkam, Chennai-600124.",AD,Artificial Intelligence and DataScience,81,191,110
1432,"Rajalakshmi Institute of Technology (Autonomous),Bangalore Highway Road, Kuthambakkam, Chennai-600124.",AM,COMPUTER SCIENCE ANDENGINEERING (AI ANDMACHINE LEARNING),27,81,54
1432,"Rajalakshmi Institute of Technology (Autonomous),Bangalore Highway Road, Kuthambakkam, Chennai-600124.",BT,BIO TECHNOLOGY,0,28,28
1432,"Rajalakshmi Institute of Technology (Autonomous),Bangalore Highway Road, Kuthambakkam, Chennai-600124.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,55,81,26
1432,"Rajalakshmi Institute of Technology (Autonomous),Bangalore Highway Road, Kuthambakkam, Chennai-600124.",CO,COMPUTER ANDCOMMUNICATIONENGINEERING,28,55,27
1432,"Rajalakshmi Institute of Technology (Autonomous),Bangalore Highway Road, Kuthambakkam, Chennai-600124.",CS,COMPUTER SCIENCE ANDENGINEERING,107,217,110
1432,"Rajalakshmi Institute of Technology (Autonomous),Bangalore Highway Road, Kuthambakkam, Chennai-600124.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,54,81,27
1432,"Rajalakshmi Institute of Technology (Autonomous),Bangalore Highway Road, Kuthambakkam, Chennai-600124.",EV,Electronics Engineering (VLSIDesign and Technology),0,81,81
1432,"Rajalakshmi Institute of Technology (Autonomous),Bangalore Highway Road, Kuthambakkam, Chennai-600124.",ME,MECHANICAL ENGINEERING,27,55,28
1434,"Surya Group of Institutions, NH-45, GST Road,Vikiravandi, Villupuram-605652.",AD,Artificial Intelligence and DataScience,40,39,-1
1434,"Surya Group of Institutions, NH-45, GST Road,Vikiravandi, Villupuram-605652.",AE,AERONAUTICAL ENGINEERING,45,25,-20
1434,"Surya Group of Institutions, NH-45, GST Road,Vikiravandi, Villupuram-605652.",AG,AGRICULTURE ENGINEERING,21,22,1
1434,"Surya Group of Institutions, NH-45, GST Road,Vikiravandi, Villupuram-605652.",AU,AUTOMOBILE ENGINEERING,22,25,3
1434,"Surya Group of Institutions, NH-45, GST Road,Vikiravandi, Villupuram-605652.",CE,CIVIL  ENGINEERING,23,24,1
1434,"Surya Group of Institutions, NH-45, GST Road,Vikiravandi, Villupuram-605652.",CS,COMPUTER SCIENCE ANDENGINEERING,41,36,-5
1434,"Surya Group of Institutions, NH-45, GST Road,Vikiravandi, Villupuram-605652.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,46,49,3
1434,"Surya Group of Institutions, NH-45, GST Road,Vikiravandi, Villupuram-605652.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,45,49,4
1434,"Surya Group of Institutions, NH-45, GST Road,Vikiravandi, Villupuram-605652.",ME,MECHANICAL ENGINEERING,45,49,4
1434,"Surya Group of Institutions, NH-45, GST Road,Vikiravandi, Villupuram-605652.",SC,Computer Science andEngineering (Cyber Security),22,25,3
1436,"A.R.Engineering College, Vadakuchipalayam,Kappiyampuliyur post, Villupuram-605601.",AD,Artificial Intelligence and DataScience,54,45,-9
1436,"A.R.Engineering College, Vadakuchipalayam,Kappiyampuliyur post, Villupuram-605601.",CE,CIVIL  ENGINEERING,27,28,1
1436,"A.R.Engineering College, Vadakuchipalayam,Kappiyampuliyur post, Villupuram-605601.",CS,COMPUTER SCIENCE ANDENGINEERING,54,45,-9
1436,"A.R.Engineering College, Vadakuchipalayam,Kappiyampuliyur post, Villupuram-605601.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,54,54,0
1436,"A.R.Engineering College, Vadakuchipalayam,Kappiyampuliyur post, Villupuram-605601.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,27,27,0
1436,"A.R.Engineering College, Vadakuchipalayam,Kappiyampuliyur post, Villupuram-605601.",ME,MECHANICAL ENGINEERING,55,54,-1
1437,"Rrase College of Engineering, Vanjuvancherry,Padappai, Sriperumbadur, Kancheepuram -601301.",AD,Artificial Intelligence and DataScience,18,18,0
1437,"Rrase College of Engineering, Vanjuvancherry,Padappai, Sriperumbadur, Kancheepuram -601301.",AU,AUTOMOBILE ENGINEERING,22,18,-4
1437,"Rrase College of Engineering, Vanjuvancherry,Padappai, Sriperumbadur, Kancheepuram -601301.",CE,CIVIL  ENGINEERING,23,17,-6
1437,"Rrase College of Engineering, Vanjuvancherry,Padappai, Sriperumbadur, Kancheepuram -601301.",CS,COMPUTER SCIENCE ANDENGINEERING,35,35,0
1437,"Rrase College of Engineering, Vanjuvancherry,Padappai, Sriperumbadur, Kancheepuram -601301.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,45,35,-10
1437,"Rrase College of Engineering, Vanjuvancherry,Padappai, Sriperumbadur, Kancheepuram -601301.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,22,18,-4
1437,"Rrase College of Engineering, Vanjuvancherry,Padappai, Sriperumbadur, Kancheepuram -601301.",IT,INFORMATION TECHNOLOGY,35,35,0
1437,"Rrase College of Engineering, Vanjuvancherry,Padappai, Sriperumbadur, Kancheepuram -601301.",ME,MECHANICAL ENGINEERING,23,18,-5
1437,"Rrase College of Engineering, Vanjuvancherry,Padappai, Sriperumbadur, Kancheepuram -601301.",SC,Computer Science andEngineering (Cyber Security),19,18,-1
1438,"Sree Krishna College of Engineering, Anaicut Post,Unnai Village, Vellore-632101.",CE,CIVIL  ENGINEERING,23,23,0
1438,"Sree Krishna College of Engineering, Anaicut Post,Unnai Village, Vellore-632101.",CS,COMPUTER SCIENCE ANDENGINEERING,36,36,0
1438,"Sree Krishna College of Engineering, Anaicut Post,Unnai Village, Vellore-632101.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,35,35,0
1438,"Sree Krishna College of Engineering, Anaicut Post,Unnai Village, Vellore-632101.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,23,23,0
1438,"Sree Krishna College of Engineering, Anaicut Post,Unnai Village, Vellore-632101.",ME,MECHANICAL ENGINEERING,50,49,-1
1441,"A.K.T.Memorial College of Engineering andTechnology, Neelamangalam( Post ), KallakurichiTaluk, Villupuram District-606202.",AD,Artificial Intelligence and DataScience,19,36,17
1441,"A.K.T.Memorial College of Engineering andTechnology, Neelamangalam( Post ), KallakurichiTaluk, Villupuram District-606202.",CE,CIVIL  ENGINEERING,22,23,1
1441,"A.K.T.Memorial College of Engineering andTechnology, Neelamangalam( Post ), KallakurichiTaluk, Villupuram District-606202.",CS,COMPUTER SCIENCE ANDENGINEERING,34,53,19
1441,"A.K.T.Memorial College of Engineering andTechnology, Neelamangalam( Post ), KallakurichiTaluk, Villupuram District-606202.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,35,35,0
1441,"A.K.T.Memorial College of Engineering andTechnology, Neelamangalam( Post ), KallakurichiTaluk, Villupuram District-606202.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,44,53,9
1441,"A.K.T.Memorial College of Engineering andTechnology, Neelamangalam( Post ), KallakurichiTaluk, Villupuram District-606202.",IT,INFORMATION TECHNOLOGY,35,36,1
1441,"A.K.T.Memorial College of Engineering andTechnology, Neelamangalam( Post ), KallakurichiTaluk, Villupuram District-606202.",ME,MECHANICAL ENGINEERING,45,46,1
1442,"Prince Dr. K. Vasudevan College of Engineering andTechnology, Medavakkam-Mambakkam Road,Ponmar, Chennai-600127.",AD,Artificial Intelligence and DataScience,35,35,0
1442,"Prince Dr. K. Vasudevan College of Engineering andTechnology, Medavakkam-Mambakkam Road,Ponmar, Chennai-600127.",BM,BIO MEDICAL ENGINEERING,18,19,1
1442,"Prince Dr. K. Vasudevan College of Engineering andTechnology, Medavakkam-Mambakkam Road,Ponmar, Chennai-600127.",CS,COMPUTER SCIENCE ANDENGINEERING,34,35,1
1442,"Prince Dr. K. Vasudevan College of Engineering andTechnology, Medavakkam-Mambakkam Road,Ponmar, Chennai-600127.",SC,Computer Science andEngineering (Cyber Security),35,35,0
1444,"R.M.Engineering College (formerly Chendu College ofEngineering and Technology),  Zamin EndathurVillage, Madurantakam, Kanchipuram-603311.",AD,Artificial Intelligence and DataScience,0,41,41
1444,"R.M.Engineering College (formerly Chendu College ofEngineering and Technology),  Zamin EndathurVillage, Madurantakam, Kanchipuram-603311.",CE,CIVIL  ENGINEERING,18,19,1
1444,"R.M.Engineering College (formerly Chendu College ofEngineering and Technology),  Zamin EndathurVillage, Madurantakam, Kanchipuram-603311.",CS,COMPUTER SCIENCE ANDENGINEERING,45,36,-9
1444,"R.M.Engineering College (formerly Chendu College ofEngineering and Technology),  Zamin EndathurVillage, Madurantakam, Kanchipuram-603311.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,45,40,-5
1444,"R.M.Engineering College (formerly Chendu College ofEngineering and Technology),  Zamin EndathurVillage, Madurantakam, Kanchipuram-603311.",ME,MECHANICAL ENGINEERING,35,40,5
1444,"R.M.Engineering College (formerly Chendu College ofEngineering and Technology),  Zamin EndathurVillage, Madurantakam, Kanchipuram-603311.",SC,Computer Science andEngineering (Cyber Security),0,17,17
1445,"Sri Rangapoopathi College of Engineering,Alampoondi Village & Post, Gingee Taluk, VillupuramDistrict-604151.",AD,Artificial Intelligence and DataScience,0,53,53
1445,"Sri Rangapoopathi College of Engineering,Alampoondi Village & Post, Gingee Taluk, VillupuramDistrict-604151.",CE,CIVIL  ENGINEERING,49,28,-21
1445,"Sri Rangapoopathi College of Engineering,Alampoondi Village & Post, Gingee Taluk, VillupuramDistrict-604151.",CS,COMPUTER SCIENCE ANDENGINEERING,54,82,28
1445,"Sri Rangapoopathi College of Engineering,Alampoondi Village & Post, Gingee Taluk, VillupuramDistrict-604151.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,18,28,10
1445,"Sri Rangapoopathi College of Engineering,Alampoondi Village & Post, Gingee Taluk, VillupuramDistrict-604151.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,44,54,10
1445,"Sri Rangapoopathi College of Engineering,Alampoondi Village & Post, Gingee Taluk, VillupuramDistrict-604151.",ME,MECHANICAL ENGINEERING,89,54,-35
1445,"Sri Rangapoopathi College of Engineering,Alampoondi Village & Post, Gingee Taluk, VillupuramDistrict-604151.",SC,Computer Science andEngineering (Cyber Security),0,54,54
1449,"Saraswathy College of Engineering and Technology,NH-45 Main Road, Olakkur, Tindivanam, Villupuram-604307.",AD,Artificial Intelligence and DataScience,0,54,54
1449,"Saraswathy College of Engineering and Technology,NH-45 Main Road, Olakkur, Tindivanam, Villupuram-604307.",AG,AGRICULTURE ENGINEERING,55,54,-1
1449,"Saraswathy College of Engineering and Technology,NH-45 Main Road, Olakkur, Tindivanam, Villupuram-604307.",CE,CIVIL  ENGINEERING,27,28,1
1449,"Saraswathy College of Engineering and Technology,NH-45 Main Road, Olakkur, Tindivanam, Villupuram-604307.",CS,COMPUTER SCIENCE ANDENGINEERING,54,54,0
1449,"Saraswathy College of Engineering and Technology,NH-45 Main Road, Olakkur, Tindivanam, Villupuram-604307.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,54,54,0
1449,"Saraswathy College of Engineering and Technology,NH-45 Main Road, Olakkur, Tindivanam, Villupuram-604307.",ME,MECHANICAL ENGINEERING,54,28,-26
1450,"Loyola-ICAM College of Engineering and Technology,Loyola College Campus, Chennai-600034.",AD,Artificial Intelligence and DataScience,0,27,27
1450,"Loyola-ICAM College of Engineering and Technology,Loyola College Campus, Chennai-600034.",CS,COMPUTER SCIENCE ANDENGINEERING,52,55,3
1450,"Loyola-ICAM College of Engineering and Technology,Loyola College Campus, Chennai-600034.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,27,27,0
1450,"Loyola-ICAM College of Engineering and Technology,Loyola College Campus, Chennai-600034.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,27,28,1
1450,"Loyola-ICAM College of Engineering and Technology,Loyola College Campus, Chennai-600034.",IT,INFORMATION TECHNOLOGY,27,27,0
1450,"Loyola-ICAM College of Engineering and Technology,Loyola College Campus, Chennai-600034.",ME,MECHANICAL ENGINEERING,27,27,0
1452,"PERI Institute of Technology (Autonomous),Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.",AD,Artificial Intelligence and DataScience,18,35,17
1452,PERI Institute of Technology  Mannivakkam  WestTambaram  Chennai 600048,AG,AGRICULTURAL ENGINEERING,18,0,-18
1452,"PERI Institute of Technology (Autonomous),Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.",AM,COMPUTER SCIENCE ANDENGINEERING (AI ANDMACHINE LEARNING),0,18,18
1452,"PERI Institute of Technology (Autonomous),Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,35,35,0
1452,"PERI Institute of Technology (Autonomous),Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.",CE,CIVIL  ENGINEERING,18,17,-1
1452,"PERI Institute of Technology (Autonomous),Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.",CS,COMPUTER SCIENCE ANDENGINEERING,106,105,-1
1452,"PERI Institute of Technology (Autonomous),Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,35,36,1
1452,"PERI Institute of Technology (Autonomous),Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,17,19,2
1452,"PERI Institute of Technology (Autonomous),Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.",IT,INFORMATION TECHNOLOGY,34,35,1
1452,"PERI Institute of Technology (Autonomous),Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.",ME,MECHANICAL ENGINEERING,18,19,1
1452,"PERI Institute of Technology (Autonomous),Mannivakkam,Tambaram, Kancheepuram, Chennai-600048.",SC,Computer Science andEngineering (Cyber Security),0,39,39
1501,"Adhiparasakthi College of Engineering, G.B.Nagar,Kalavai, Arcot Taluk, Vellore District-632506.",AD,Artificial Intelligence and DataScience,0,35,35
1501,"Adhiparasakthi College of Engineering, G.B.Nagar,Kalavai, Arcot Taluk, Vellore District-632506.",CE,CIVIL  ENGINEERING,27,26,-1
1501,"Adhiparasakthi College of Engineering, G.B.Nagar,Kalavai, Arcot Taluk, Vellore District-632506.",CS,COMPUTER SCIENCE ANDENGINEERING,35,36,1
1501,"Adhiparasakthi College of Engineering, G.B.Nagar,Kalavai, Arcot Taluk, Vellore District-632506.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,44,36,-8
1501,"Adhiparasakthi College of Engineering, G.B.Nagar,Kalavai, Arcot Taluk, Vellore District-632506.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,26,17,-9
1501,"Adhiparasakthi College of Engineering, G.B.Nagar,Kalavai, Arcot Taluk, Vellore District-632506.",IT,INFORMATION TECHNOLOGY,33,35,2
1501,"Adhiparasakthi College of Engineering, G.B.Nagar,Kalavai, Arcot Taluk, Vellore District-632506.",ME,MECHANICAL ENGINEERING,25,18,-7
1501,"Adhiparasakthi College of Engineering, G.B.Nagar,Kalavai, Arcot Taluk, Vellore District-632506.",SC,Computer Science andEngineering (Cyber Security),0,18,18
1503,"Arulmigu Meenakshi Amman College of Engineering,Vadamavandal Village, Namandi Post,(NearKanchipuram),Tiruvanamalai-604410.",BT,BIO TECHNOLOGY,17,14,-3
1503,"Arulmigu Meenakshi Amman College of Engineering,Vadamavandal Village, Namandi Post,(NearKanchipuram),Tiruvanamalai-604410.",CE,CIVIL  ENGINEERING,18,22,4
1503,"Arulmigu Meenakshi Amman College of Engineering,Vadamavandal Village, Namandi Post,(NearKanchipuram),Tiruvanamalai-604410.",CH,CHEMICAL  ENGINEERING,21,19,-2
1503,"Arulmigu Meenakshi Amman College of Engineering,Vadamavandal Village, Namandi Post,(NearKanchipuram),Tiruvanamalai-604410.",CS,COMPUTER SCIENCE ANDENGINEERING,32,30,-2
1503,"Arulmigu Meenakshi Amman College of Engineering,Vadamavandal Village, Namandi Post,(NearKanchipuram),Tiruvanamalai-604410.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,46,40,-6
1503,"Arulmigu Meenakshi Amman College of Engineering,Vadamavandal Village, Namandi Post,(NearKanchipuram),Tiruvanamalai-604410.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,18,20,2
1503,"Arulmigu Meenakshi Amman College of Engineering,Vadamavandal Village, Namandi Post,(NearKanchipuram),Tiruvanamalai-604410.",IC,INSTRUMENTATION ANDCONTROL ENGINEERING,11,10,-1
1503,"Arulmigu Meenakshi Amman College of Engineering,Vadamavandal Village, Namandi Post,(NearKanchipuram),Tiruvanamalai-604410.",IT,INFORMATION TECHNOLOGY,11,10,-1
1503,"Arulmigu Meenakshi Amman College of Engineering,Vadamavandal Village, Namandi Post,(NearKanchipuram),Tiruvanamalai-604410.",ME,MECHANICAL ENGINEERING,65,63,-2
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",AD,Artificial Intelligence and DataScience,35,70,35
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",AG,AGRICULTURE ENGINEERING,35,36,1
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",AM,COMPUTER SCIENCE ANDENGINEERING (AI ANDMACHINE LEARNING),35,35,0
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",BT,BIO TECHNOLOGY,35,35,0
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",CE,CIVIL  ENGINEERING,18,19,1
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",CH,CHEMICAL  ENGINEERING,19,18,-1
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",CS,COMPUTER SCIENCE ANDENGINEERING,71,141,70
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,71,70,-1
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,35,36,1
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",IT,INFORMATION TECHNOLOGY,35,70,35
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",ME,MECHANICAL ENGINEERING,35,36,1
1504,"Arunai Engineering College, Chittor-Cuddalore Raod,Mathur, Tiruvannamalai-606603.",SC,Computer Science andEngineering (Cyber Security),35,35,0
1505,"C.Abdul Hakeem College of Engineering andTechnology, Hakeem Nagar, Melvisharam, Vellore -632509.",AD,Artificial Intelligence and DataScience,27,27,0
1505,"C.Abdul Hakeem College of Engineering andTechnology, Hakeem Nagar, Melvisharam, Vellore -632509.",CE,CIVIL  ENGINEERING,14,14,0
1505,"C.Abdul Hakeem College of Engineering andTechnology, Hakeem Nagar, Melvisharam, Vellore -632509.",CS,COMPUTER SCIENCE ANDENGINEERING,55,55,0
1505,"C.Abdul Hakeem College of Engineering andTechnology, Hakeem Nagar, Melvisharam, Vellore -632509.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,26,26,0
1505,"C.Abdul Hakeem College of Engineering andTechnology, Hakeem Nagar, Melvisharam, Vellore -632509.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,13,14,1
1505,"C.Abdul Hakeem College of Engineering andTechnology, Hakeem Nagar, Melvisharam, Vellore -632509.",IT,INFORMATION TECHNOLOGY,40,40,0
